,南部,中部,北部,東部,全台
2024-05-01 00:00:00,431.668410515143,671.0079100257933,506.5369733490741,431.15574819984795,530.9258278494781
2024-05-01 01:00:00,427.45826281277107,732.9640879201621,516.2226017786734,468.0626192597512,548.4878167783851
2024-05-01 02:00:00,427.38900287529003,733.6127255732935,503.45043558658716,509.466482514076,551.8486278863892
2024-05-01 03:00:00,427.2229110887813,735.0926140407684,517.2685204060496,540.8483638630305,559.3727736279446
2024-05-01 04:00:00,427.14341894326947,681.4947744479012,507.4060727058979,513.3834235826974,543.5477012679542
2024-05-01 05:00:00,425.32503311579075,624.6571369674105,505.6100678665544,485.8056402508832,524.2626872662515
2024-05-01 06:00:00,407.7185257869755,639.5806615254043,498.535126254708,493.11378102082483,520.5951679576999
2024-05-01 07:00:00,384.45435937527037,618.1741354331417,495.4978128640019,458.40759947043904,506.17627758696466
2024-05-01 08:00:00,312.97260525752785,562.8553224770476,515.6420233717342,425.21893054551583,471.17748753684873
2024-05-01 09:00:00,317.05247247207757,511.3230073744324,526.1931431238456,384.61377324019605,460.70198597553804
2024-05-01 10:00:00,256.4573535435832,482.9594202388803,524.212033238468,371.2953680415495,422.0900072441824
2024-05-01 11:00:00,297.0332394483557,479.8893047515254,516.0417147539038,365.7648798167242,436.7014782773865
2024-05-01 12:00:00,349.4151689023306,568.7718695961094,527.4459860753133,418.03202067947814,486.42094247869977
2024-05-01 13:00:00,343.39546407587494,637.9983158243481,527.2532365534382,431.5922042176444,502.3001951342816
2024-05-01 14:00:00,403.2268778340645,645.2570017155391,529.8721504426477,462.54245403868117,532.5338032392452
2024-05-01 15:00:00,434.4430069810987,652.2651235322437,525.021689967898,485.40817578952016,543.1488442641909
2024-05-01 16:00:00,408.9875472447335,662.6588818255397,538.1184055323079,523.6841735863924,539.3106384447774
2024-05-01 17:00:00,422.8658400328729,673.355145632428,541.3797643791763,531.4222197623671,547.1681728130911
2024-05-01 18:00:00,423.8546517949989,658.1795962121489,522.4687336480163,506.1804130281318,533.296529418608
2024-05-01 19:00:00,420.440537617071,652.152832826941,510.0750728975598,483.0298230711222,525.5865769580286
2024-05-01 20:00:00,426.53263701243054,602.6153646381986,514.9631909551632,446.60935847164546,515.5381488854473
2024-05-01 21:00:00,425.72794644288535,598.8080086683,521.1612280143652,436.88070521129754,515.7942480444411
2024-05-01 22:00:00,426.45954533826693,625.3476455027226,529.2590550302892,392.2267201470725,525.5105966754872
2024-05-01 23:00:00,426.07152344067345,625.3172291146313,546.7850128901234,396.22002800993727,532.0653851826174
2024-05-02 00:00:00,425.61482683487765,637.142100058167,532.0205933163812,422.42760553347927,531.4376349024036
2024-05-02 01:00:00,425.94069374918035,663.2264298411035,517.5982752437119,446.12871308047346,535.7401633306059
2024-05-02 02:00:00,426.1668090858215,650.0721843162324,511.634791254845,449.75562099302647,530.0296734711962
2024-05-02 03:00:00,426.8110094453018,653.0029799413016,515.8727997159306,474.47771578159353,533.2463562041355
2024-05-02 04:00:00,429.9070705664677,626.6531767586791,512.1812358512227,465.3378905960038,526.3719317075216
2024-05-02 05:00:00,434.9348839528215,629.3276826684448,508.98621426160366,495.4313384682404,529.3861446361515
2024-05-02 06:00:00,406.99615802195655,625.4005988984317,516.1499800887815,513.6140709917098,517.917913598395
2024-05-02 07:00:00,367.47761058353177,559.8310032037841,517.3769067071916,473.4851509148282,482.41081612630074
2024-05-02 08:00:00,315.40422759873303,453.2342220938968,504.8071053413263,381.5037234098526,425.67153343490054
2024-05-02 09:00:00,264.0303011783108,378.86910264474466,485.73222333760623,324.10668591755393,374.30548120259107
2024-05-02 10:00:00,249.28285588368797,319.6657589496063,465.6067652672822,283.19765991411856,342.3527886129306
2024-05-02 11:00:00,241.40650893228803,305.7211580208553,456.95237921216824,272.13203317518145,332.1523005168511
2024-05-02 12:00:00,240.87052173357733,314.3858074847061,463.39520039135664,282.40313801086023,336.19698138777875
2024-05-02 13:00:00,248.00721099374164,344.4320722442188,471.1292719528544,300.7939915034857,351.5923173508274
2024-05-02 14:00:00,266.3681320793999,380.2676953329227,478.2054180501997,321.39400270910266,372.05447682944475
2024-05-02 15:00:00,309.68547806680675,425.19623954646374,492.6733958037206,354.1507450435608,409.4569255745529
2024-05-02 16:00:00,361.75740863072224,480.9153497875277,499.53206894716504,386.8931316279773,449.12263149648817
2024-05-02 17:00:00,398.2128720750022,517.9952924075675,512.0879509433286,402.9145346540226,476.3162779420899
2024-05-02 18:00:00,422.9981492046535,540.4539924638815,504.70195786090676,416.6115429215292,489.0445142045563
2024-05-02 19:00:00,425.21432898107395,538.0747356124517,505.3422531473309,413.98716426362984,488.9767064562866
2024-05-02 20:00:00,426.5384938293228,555.9003775344598,509.9905013428908,415.7812911609902,495.9088178368451
2024-05-02 21:00:00,425.77324999421023,559.7350680317738,511.2770081368078,417.82666846289885,497.22162398811093
2024-05-02 22:00:00,425.33479929104254,563.3090071272414,510.59307747334304,405.9345798010899,497.8789644438
2024-05-02 23:00:00,424.8384050976258,565.8814582249585,520.2574839790731,413.51514060679347,503.4021860055569
2024-05-03 00:00:00,424.7474089447139,564.9297434534047,533.245443997965,416.6953108960326,505.4535113818532
2024-05-03 01:00:00,424.4555808401134,602.6962733226761,534.9647584142933,443.0107820653691,517.8626186753947
2024-05-03 02:00:00,423.478123655247,611.4879288167637,536.9825989172579,459.7303030953973,523.9811060318357
2024-05-03 03:00:00,423.11809933940907,609.3340684609318,535.7898024171842,459.3113384110216,523.0221905558121
2024-05-03 04:00:00,423.3714266718818,613.2480941272476,538.815912350469,459.9056507673672,525.2431981941595
2024-05-03 05:00:00,424.2519758414774,606.601808640017,529.2517600675031,459.39675219015743,520.6342638060197
2024-05-03 06:00:00,407.6852966927816,583.6909724694348,521.732366584964,452.33849489760433,505.20419181299536
2024-05-03 07:00:00,363.5648030322805,502.0366924253004,522.1858481166698,408.5846092241009,462.3963702385433
2024-05-03 08:00:00,322.59301638705176,429.6665184401326,491.9893381802124,357.06062077687585,415.9652726847993
2024-05-03 09:00:00,273.24116968738593,370.91395599939915,470.444320700784,311.0424008796887,369.9088325028732
2024-05-03 10:00:00,261.66963946115663,363.9962165912571,467.25041594028966,307.808132770966,362.33913872003626
2024-05-03 11:00:00,245.5737496202608,337.3785409216213,458.53117926155267,289.8786029051102,345.22450842534874
2024-05-03 12:00:00,245.91237137514761,348.5506077301397,469.33557756693875,309.2992759108001,353.19891938983113
2024-05-03 13:00:00,252.93173695895226,367.53810568676226,476.3940865379826,320.01157121472494,364.6412803334032
2024-05-03 14:00:00,271.35379026999857,395.6655742309619,479.20026573504765,319.68992589887176,380.7631233577515
2024-05-03 15:00:00,301.40789211408605,431.8408570433744,483.4369852318205,327.5200536014499,404.31625263286196
2024-05-03 16:00:00,362.2741912137849,463.0716112634726,489.7211543280039,355.8225659312081,438.73300199829964
2024-05-03 17:00:00,408.8893531508351,509.0151738331725,496.71840599718115,416.7894623934119,472.23122739714654
2024-05-03 18:00:00,422.5002394366897,547.8955858788046,502.8942752660677,419.8550031473104,489.9252495669781
2024-05-03 19:00:00,422.6102133325732,563.1011812214055,513.1453235100037,405.60983253391726,498.01324350469054
2024-05-03 20:00:00,422.9643153432772,552.763631415557,516.5854747583733,402.8726143039698,495.8225220126526
2024-05-03 21:00:00,422.80536012289093,530.7975330311315,511.6584316574917,394.2083295970051,487.12436708032146
2024-05-03 22:00:00,423.1670186140105,524.0135026950511,504.6235237579562,388.12800202764004,481.90227190327397
2024-05-03 23:00:00,424.64904313518747,533.4140186615532,495.02824024100175,416.1341113870583,483.27006761429
2024-05-04 00:00:00,425.0705551577003,560.329057536752,499.5802502434202,428.55779899055307,491.6077748546707
2024-05-04 01:00:00,424.79448419196603,585.5566217401927,509.21155866562447,442.6653518648976,502.2658984081327
2024-05-04 02:00:00,425.06146685578943,622.2061996824472,507.4580518128363,477.70594019719726,515.9066524714485
2024-05-04 03:00:00,424.88863968080784,626.8896555092222,505.2484636985857,482.037777591601,518.0534102694946
2024-05-04 04:00:00,425.2677577005282,630.503155344956,503.06454324053914,483.0661610490875,519.1949176453686
2024-05-04 05:00:00,425.4381002819401,627.4938702674856,507.06343510574624,480.7519477173889,519.3891383345596
2024-05-04 06:00:00,394.8710617605032,586.76999756526,522.2207523762241,478.0119452792445,500.2179765506708
2024-05-04 07:00:00,336.2380152622398,488.4970411041207,523.2986580316834,419.98426743791987,447.1420576664246
2024-05-04 08:00:00,289.8542884945641,420.038721348607,508.6436130838353,369.1876972282415,402.4985663213193
2024-05-04 09:00:00,263.5391754049303,398.6716568585324,501.6470540014413,358.406753459905,383.42012293824735
2024-05-04 10:00:00,246.52920645871734,356.70948880884134,488.3512111906805,323.99841760059854,359.654339887672
2024-05-04 11:00:00,237.03760303477526,370.490102901828,496.44657046627833,337.93714774290345,364.56281899391956
2024-05-04 12:00:00,234.90911100768176,379.1765112417993,500.4882638359715,342.47733684576383,368.7440301017322
2024-05-04 13:00:00,241.99859324276207,387.4724564501805,499.8825556600249,346.146446423925,374.2504585060437
2024-05-04 14:00:00,256.0724544445501,416.37224991929247,515.9278341645296,373.22164774925056,397.6801227946117
2024-05-04 15:00:00,283.47533681403524,458.5521763848598,533.3873233878369,401.35544885092474,426.00165552450284
2024-05-04 16:00:00,331.3324553533682,494.6908669211818,530.5801366082311,423.6716515397523,456.11694957167487
2024-05-04 17:00:00,392.86832902865973,562.8730221404226,533.5959496842972,469.3486260579654,499.93691883580954
2024-05-04 18:00:00,435.45229414935244,582.5667982336112,535.6598463946873,456.05892195008505,519.2336001373266
2024-05-04 19:00:00,439.29452358246124,588.2544634166053,536.6754159336664,457.10389939452256,522.703209072449
2024-05-04 20:00:00,440.1142912021775,598.5556263893029,538.6740280790722,462.4485050438328,526.7514800977748
2024-05-04 21:00:00,439.60942266924775,609.1424937281789,541.880587929648,465.41171581110075,531.7082165396497
2024-05-04 22:00:00,420.3264384056768,623.4668541301592,544.5133562553478,465.7098648388132,532.2111271482278
2024-05-04 23:00:00,400.7217871175021,628.1022083041759,537.4422861742177,454.08326578041124,526.6174634814452
2024-05-05 00:00:00,392.5954573761669,616.3179661792188,528.9615210549678,445.7470109149296,514.1471309744653
2024-05-05 01:00:00,390.67355141688563,654.1115798987795,524.7839379090832,473.50121348129557,523.9002533948008
2024-05-05 02:00:00,390.38848658705234,688.191870281804,513.0944353651099,500.21297113519444,534.462931751953
2024-05-05 03:00:00,390.32952486171223,679.1021157953618,505.902215496058,502.9488088504807,531.2070769838576
2024-05-05 04:00:00,390.5552459254911,666.8712934054765,498.3407662344524,495.50548395458935,523.5619016597265
2024-05-05 05:00:00,390.53617428049046,648.4155810138004,499.3312719215625,491.2543023818889,517.6308517167388
2024-05-05 06:00:00,372.50137555575526,600.6485747698383,499.13977450525795,465.2793663675256,495.56468808426655
2024-05-05 07:00:00,372.60228932605935,576.1848774126397,503.4965847184724,450.6631489969974,487.1082294769636
2024-05-05 08:00:00,362.94857045856213,599.689823171474,513.8978193869277,455.03891083898475,494.1900671402736
2024-05-05 09:00:00,356.29559271329674,596.665197222963,525.6649712122712,455.01966541253324,498.67563804714723
2024-05-05 10:00:00,352.2608666768146,597.1650390590905,530.1835581150111,452.60950459629083,499.30603855250536
2024-05-05 11:00:00,258.41549707537064,538.0789728569983,540.1714014202458,423.5831420944202,441.55128924382325
2024-05-05 12:00:00,223.10131681502253,488.0953581518145,531.7309020457582,424.2717496351331,410.0785686379806
2024-05-05 13:00:00,229.59281650157567,479.2439511874709,527.6793667426706,419.4891357668961,412.0934041450655
2024-05-05 14:00:00,238.51953206162884,493.39731706703674,524.8020255993105,430.7531509629301,416.8189607674258
2024-05-05 15:00:00,270.2236615684175,490.25141996797373,518.5897455408119,434.00474664284366,432.94129502180203
2024-05-05 16:00:00,322.5808437443622,551.2635385886316,524.5395411785315,473.2852309561239,471.0688376447461
2024-05-05 17:00:00,375.1809381030369,599.4787522356008,523.8636326244057,490.43086152614495,500.38150856096354
2024-05-05 18:00:00,418.9950198612333,627.4179628793488,521.5540029847198,507.9736540071546,522.1396832618208
2024-05-05 19:00:00,423.46703108165633,629.0792538617304,522.4207428023025,509.7759864708823,524.1185816030433
2024-05-05 20:00:00,424.344981610798,616.2877276117421,522.6723336873781,490.1689203216556,521.3131088040628
2024-05-05 21:00:00,424.47610385925793,627.7591692342687,521.6766557605214,466.8796353105948,524.2238079992408
2024-05-05 22:00:00,425.0281819400082,631.3841127450223,520.7548065202812,457.2350403597845,524.3672429043935
2024-05-05 23:00:00,425.3899231752593,616.5486869034395,510.7951880061134,443.40557732968443,514.8609496752134
2024-05-06 00:00:00,424.7625892973429,598.9629380394074,501.258187498704,440.35598843073035,504.85570549158535
2024-05-06 01:00:00,424.74347199656046,627.7567903923252,492.26122133423434,457.26215262315077,511.2268100427889
2024-05-06 02:00:00,425.06054532365147,659.2303821365444,482.17328946643704,484.06206187191646,520.9317234349394
2024-05-06 03:00:00,425.0924343747672,641.2446069665318,479.58473345356384,498.0072447349017,514.7928650479257
2024-05-06 04:00:00,425.08888999655807,631.0621546486578,476.6007333129639,497.80319450291523,510.79662468217134
2024-05-06 05:00:00,424.7560736798748,632.6725743833944,476.7205035040134,499.58315159799287,510.8241340355872
2024-05-06 06:00:00,387.30852239457147,582.2794834731952,479.54577619416773,469.3756849793239,483.1971783756009
2024-05-06 07:00:00,329.29936710000885,491.9274777655383,489.1400553760421,411.86823962977996,437.2178504635532
2024-05-06 08:00:00,290.56081310864295,434.0436942943363,475.160747534059,373.0609008850202,401.8523951047931
2024-05-06 09:00:00,254.6457463487493,410.7348570417118,469.7980154687566,353.49451458550095,379.9549720050968
2024-05-06 10:00:00,240.29539400187826,396.3902428073181,469.55492300703594,339.92477309652827,369.3294799813943
2024-05-06 11:00:00,235.56353697386143,384.0016735563908,469.4174250383712,336.0106350046415,363.63159039194045
2024-05-06 12:00:00,236.22208417585512,382.76851637766515,471.9811512635027,335.2553164425443,364.9230246619452
2024-05-06 13:00:00,248.3474384119651,396.7678471456057,473.98488202548197,344.53612599121715,375.0406081505044
2024-05-06 14:00:00,267.95157238342966,415.9580713955989,473.96206033429115,355.86711850724976,389.9648133489169
2024-05-06 15:00:00,297.3555306505691,462.0383850439366,484.8270449077988,389.95674317544865,419.65552524717583
2024-05-06 16:00:00,345.5348559457903,522.4985943196116,498.0389808643389,428.0763358658275,459.54333218000306
2024-05-06 17:00:00,407.522672297269,602.9330257220864,514.3194073796055,491.9903147494402,509.3420159759042
2024-05-06 18:00:00,449.1401545352154,618.0609370118901,515.6158477205072,512.1021532666447,526.4672062299239
2024-05-06 19:00:00,457.14445704744554,626.4152719143434,507.86713744935173,476.1924052396425,527.2903786755204
2024-05-06 20:00:00,455.6512933848951,644.2033549443279,499.51453711659093,482.4023401395152,529.1831430333585
2024-05-06 21:00:00,447.87158578329195,652.1494954470642,494.7552447725681,489.7552338729073,528.0396869257917
2024-05-06 22:00:00,435.87913212192404,646.3690588805687,484.46405418849304,523.5235602830716,520.8375032142769
2024-05-06 23:00:00,428.9861959933234,660.8683642098617,484.92870646687317,533.8703655547697,525.5115840092011
2024-05-07 00:00:00,424.6766489211232,678.3839721432704,502.40289529502365,544.5529216691466,535.5374145970835
2024-05-07 01:00:00,423.6661574991372,671.0144720202642,511.12334543665594,537.8817987725602,535.2655844611907
2024-05-07 02:00:00,424.07180008617394,632.4781387988814,513.1846644334258,521.9715591768825,524.950666408325
2024-05-07 03:00:00,424.4266889892574,631.6605847516308,511.2054569399277,522.926880670452,525.3318171405742
2024-05-07 04:00:00,424.72423348114944,643.0751656940278,500.90141207629534,531.127531961141,525.5893523136431
2024-05-07 05:00:00,424.940159594288,651.8702109868286,487.2398487368603,538.5387184501469,523.3974883077651
2024-05-07 06:00:00,391.49867446536115,607.6236951760509,484.4737580775303,509.03485986029506,497.0553190549886
2024-05-07 07:00:00,345.5614589560272,530.852765959796,487.34975847015113,456.48468789288137,458.5216140580896
2024-05-07 08:00:00,322.3850649116251,484.3092366511761,474.6888372051935,417.4851713489351,431.85001080968135
2024-05-07 09:00:00,285.6142227301933,415.61753370256747,459.8013142895407,364.56162283171915,391.47916225835144
2024-05-07 10:00:00,256.62351513038726,387.51905148586997,453.10448455317817,346.69563532675807,369.98137397674105
2024-05-07 11:00:00,250.77794343411563,383.0750098504965,451.9182277335974,340.8531492921707,367.13660782726885
2024-05-07 12:00:00,236.30924259688737,438.06989492468904,474.93878230762954,375.30346361384693,384.1295248875059
2024-05-07 13:00:00,256.5435552069749,460.5273195609409,477.30717189887974,388.88503310744943,402.3855817529704
2024-05-07 14:00:00,256.8860873032539,474.6158253231303,473.97285692756105,393.9108156751887,406.3695002646093
2024-05-07 15:00:00,287.3405284863777,511.22997250952267,484.0292777210029,415.4264838476232,430.2433023265321
2024-05-07 16:00:00,336.8233702118821,554.8242517972591,489.3842058828125,441.88727689191626,462.47100788537733
2024-05-07 17:00:00,376.16049560644905,599.4874968061442,493.9293726098207,465.9601774548599,489.9883678261181
2024-05-07 18:00:00,414.35312238104206,602.3119299021631,491.9059491443493,445.9342860179303,502.2479869744023
2024-05-07 19:00:00,418.8745073744915,613.2768399464944,489.2509680465014,433.38920157327493,505.3720215717485
2024-05-07 20:00:00,424.68433743364426,620.9477471506204,487.79975292656667,439.2303360289487,509.78890777797994
2024-05-07 21:00:00,424.8383685772864,607.7451253917146,489.28018868529756,438.29439185150784,504.9471849301825
2024-05-07 22:00:00,425.07896464162064,607.3950677791188,484.12533407695867,471.148294653515,503.8358258522855
2024-05-07 23:00:00,425.1762542264886,638.0150110121674,487.212747980755,492.88911484516854,514.4905857199487
2024-05-08 00:00:00,425.48278120503863,676.2132718685298,494.9120989873997,510.6153254901254,526.9589733965856
2024-05-08 01:00:00,425.362785181046,712.2090947628695,495.4877617637932,533.6152806524834,541.7196337776883
2024-05-08 02:00:00,424.6808962610202,730.2626526178339,490.8179304569484,540.72917684529,545.6251800121447
2024-05-08 03:00:00,425.32917084372974,730.3579086271219,483.1712946266667,545.0078791120319,546.5220537612926
2024-05-08 04:00:00,425.44726485673715,728.0478782563667,480.3367999088134,546.5890462835397,545.736329572631
2024-05-08 05:00:00,425.99697798184616,726.346010548335,482.322882289065,546.4937129862441,542.7188236779174
2024-05-08 06:00:00,387.02514996654,643.4990172609487,472.4362688299421,527.39582654655,502.40668415323915
2024-05-08 07:00:00,330.75628478944304,575.5992270773862,482.701498377656,488.6925536993347,464.5103697588455
2024-05-08 08:00:00,285.28242701708484,507.7890639851858,464.84723879984546,424.2925403520213,417.62586748369824
2024-05-08 09:00:00,259.7092934966968,431.02536610679914,455.00192082760475,367.3477003489659,381.77784987781325
2024-05-08 10:00:00,240.09407705634302,409.5696909481797,453.6996411182081,355.14338265394264,367.7014198806518
2024-05-08 11:00:00,236.52136686401403,415.040527555376,459.37384883727924,363.37300457270555,369.38988549907623
2024-05-08 12:00:00,238.67929461852827,407.5715119780178,463.9481175201448,355.9624124296553,370.25302464319094
2024-05-08 13:00:00,253.96563572054063,385.39172354245346,450.0308021777293,334.6565160279533,366.1568282356523
2024-05-08 14:00:00,257.3158014411402,390.89188664680177,450.0852957164296,354.2192352010511,372.0675625363134
2024-05-08 15:00:00,273.5075346751721,400.5833828587539,451.366007185769,359.365640553495,381.6841642253517
2024-05-08 16:00:00,324.94958189596554,454.610708935885,451.4826360703283,379.8708632208523,415.07106146471676
2024-05-08 17:00:00,375.036478183865,506.24925451461047,455.7901947281363,374.47026424912485,446.37621670077607
2024-05-08 18:00:00,411.7776473077921,532.2388076775263,457.10869322014,379.95348524270935,465.3231545065495
2024-05-08 19:00:00,415.0625554968122,532.528415721742,462.8464652354005,376.1874117667894,468.3809558871157
2024-05-08 20:00:00,423.4286188246181,534.7894799381555,458.6948114166831,378.0074994758643,469.00975978926255
2024-05-08 21:00:00,422.9891988702625,542.0305202692037,459.35192327724735,389.52863079007165,471.7480683211064
2024-05-08 22:00:00,423.10981894123074,551.5447026656242,453.485690271763,392.1514051482718,471.90409262456564
2024-05-08 23:00:00,423.8139784690352,535.3235233867964,451.93694059289356,402.0524649853365,466.5857829924785
2024-05-09 00:00:00,423.08214095678227,536.6968746787365,461.9696303359858,410.62769408874124,469.7282219489457
2024-05-09 01:00:00,422.96235971890354,591.3717799745365,476.28103504584203,447.9228733533497,491.276505725871
2024-05-09 02:00:00,422.82876503341265,605.0308770575073,474.6933243916731,477.14626135896856,497.23120676075547
2024-05-09 03:00:00,423.2163148880703,569.9067250607551,476.3226574504741,473.77481167950356,488.8118429330791
2024-05-09 04:00:00,423.37892869706553,580.9086803950727,475.388029002753,481.8602378400222,491.4561953108472
