南部,中部,北部,東部,離島
0.011111111111111112,0.29768392370572205,0.580842701764007,,0.1467136150234742
0.018518518518518517,0.07296397214653345,0.4695640252262133,,0.02230046948356807
0.037037037037037035,0.08113835906751438,0.5351430399415045,,0.09154929577464789
0.06666666666666667,0.11270057523463518,0.2534046248057764,,0.016431924882629106
0.1962962962962963,0.3005600968816227,0.3164701581208299,,0.14906103286384975
0.8259259259259258,0.43854072055706933,0.31487066995704227,,0.1596244131455399
0.8740740740740741,0.242960944595822,0.4288913262041861,,0.13497652582159625
0.04814814814814815,0.1178474114441417,0.5831276848551321,,0.018779342723004695
0.014814814814814815,0.03739025128670905,0.47687597111781377,,0.009389671361502348
0.0,0.10543445352709657,0.11744813088383145,,0.014084507042253521
0.044444444444444446,0.09355131698455948,0.10282423910063065,,0.023474178403755867
0.16296296296296298,0.088934302149561,0.13047253450324467,,0.025821596244131457
0.3074074074074074,0.08272782319103845,0.21935837674801206,,0.035211267605633804
0.5111111111111111,0.04806236754465637,0.3843341559272461,,0.09389671361502348
0.8555555555555555,0.029064486830154404,0.3934740882917467,,0.13967136150234744
0.5111111111111111,0.03330305782621859,0.36536879627090757,,0.1807511737089202
0.5518518518518519,0.018316681804420223,0.3066447308289919,,0.2875586854460094
0.1851851851851852,0.06963366636391159,0.20085001370989855,,0.2981220657276995
0.003703703703703704,0.08885861338177416,0.2707704962983274,,0.23591549295774647
0.18888888888888888,0.10316379049349077,0.4844164153185266,,0.20892018779342725
0.34074074074074073,0.20352709657886772,0.3134996801023673,,0.2124413145539906
0.5666666666666667,0.2268392370572207,0.12773055479389453,,0.22417840375586856
0.5148148148148148,0.12299424765364819,0.09277031349968011,,0.2946009389671362
0.6777777777777778,0.16848319709355128,0.12498857508454436,,0.25938967136150237
0.6814814814814815,0.20829548894943992,0.16200530116077141,,0.22183098591549297
0.4740740740740741,0.10967302452316076,0.14395393474088294,,0.24295774647887325
0.43703703703703706,0.07273690584317287,0.13390000913993236,,0.18661971830985916
0.43703703703703706,0.05396609143203148,0.07449044877067909,,0.1443661971830986
0.11851851851851852,0.154026642446261,0.1418974499588703,,0.18896713615023472
0.011111111111111112,0.12806539509536782,0.1437254364317704,,0.26995305164319244
0.014814814814814815,0.06630336058128974,0.09734027968193035,,0.357981220657277
0.0,0.07636996669694218,0.254547116351339,,0.3356807511737089
0.003703703703703704,0.15107478050257342,0.2789964354263778,,0.3262910798122066
0.0925925925925926,0.22608234937935212,0.27008500137098984,,0.3039906103286385
0.34074074074074073,0.3070693309112928,0.21364591902019925,,0.27816901408450706
0.36296296296296293,0.361716621253406,0.3338360296133809,,0.23004694835680753
0.3703703703703704,0.42226763548289437,0.37062425738049537,,0.181924882629108
0.3370370370370371,0.48690584317287317,0.40672699022027237,,0.2194835680751174
0.32222222222222224,0.4869058431728731,0.4069554885293849,,0.22417840375586853
0.36296296296296293,0.4873599757795943,0.33132254821314316,,0.2640845070422535
0.35185185185185186,0.5009839539812292,0.35394388081528194,,0.2875586854460094
0.24814814814814817,0.4959128065395096,0.2344392651494379,,0.2852112676056338
0.15185185185185185,0.4172721768089616,0.37222374554428295,,0.2687793427230047
0.23703703703703705,0.42680896155010595,0.3123571885568047,,0.2992957746478873
0.16666666666666666,0.31819557977596125,0.27716844895347775,,0.32276995305164324
0.34074074074074073,0.3032848925219498,0.29316333059135363,,0.2805164319248826
0.40370370370370373,0.3090372388737511,0.27145599122566494,,0.26173708920187794
0.48148148148148145,0.33091129276415376,0.12087560552051914,,0.32981220657276994
0.3333333333333333,0.32084468664850135,0.08774335069920483,,0.3591549295774648
0.17407407407407408,0.28300030275507115,0.2648295402614021,,0.3673708920187793
0.2740740740740741,0.24644262791401758,0.15400786034183347,,0.397887323943662
0.5407407407407407,0.2716469875870421,0.14760990768668314,,0.33568075117370894
0.6703703703703703,0.24735089312745992,0.1053377205008683,,0.2652582159624413
0.4925925925925926,0.26014229488343926,0.25546110958778906,,0.25
0.5407407407407407,0.22161671207992734,0.3194406361392926,,0.27934272300469487
0.39629629629629626,0.20072661217075385,0.3802211863632209,,0.24882629107981225
0.6222222222222222,0.18899485316379053,0.44968467233342474,,0.2007042253521127
0.45185185185185184,0.2652134423251589,0.4556256283703501,,0.22535211267605634
0.48148148148148145,0.3483953981229186,0.436431770404899,,0.20305164319248825
0.23703703703703705,0.4058431728731456,0.41312494287542273,,0.18661971830985913
0.0962962962962963,0.38828337874659397,0.5088657343935654,,0.1960093896713615
0.08888888888888889,0.40054495912806537,0.45151265880632485,,0.20892018779342722
0.13333333333333333,0.36353315168029066,0.48213143222740146,,0.22065727699530513
0.11851851851851852,0.41212534059945505,0.5956950918563203,,0.2335680751173709
0.22592592592592592,0.5001513775355738,0.571474271090394,,0.27816901408450706
0.3925925925925926,0.44860732667272174,0.5671328032172561,,0.25
0.3370370370370371,0.32447774750227065,0.49332784937391466,,0.24647887323943662
0.5666666666666667,0.22033000302755074,0.22964080065807513,,0.2523474178403756
0.762962962962963,0.18256130790190736,0.09139932364500501,,0.27699530516431925
0.7888888888888889,0.1907356948228883,0.10031075770039301,,0.2007042253521127
0.5925925925925926,0.21200423857099607,0.21501690887487435,,0.2124413145539906
0.20740740740740743,0.20420829548894942,0.41175395302074763,,0.17723004694835684
0.07777777777777778,0.12973054798667877,0.5015537885019651,,0.1948356807511737
0.07777777777777778,0.112246442627914,0.39530207476464674,,0.18427230046948356
0.06296296296296296,0.08711777172267636,0.3148706699570423,,0.1795774647887324
0.05555555555555555,0.08106267029972752,0.2885933644091034,,0.13028169014084506
