,南部,中部,北部,東部,全台
2024-08-01 00:00:00,498.8616708037918,532.1405275149107,478.0723930339289,431.3967210879492,500.243253151634
2024-08-01 01:00:00,498.9090610087402,536.8554353666964,487.44160758999703,432.09740534430506,506.2585772846608
2024-08-01 02:00:00,500.0659970482449,519.5602615123873,481.3970418985765,419.5116404255557,498.578414110995
2024-08-01 03:00:00,500.2705854236839,517.379580733739,486.2583331448458,422.0088667888036,499.91024137215885
2024-08-01 04:00:00,499.5054130075603,520.6585873383042,500.6898985421824,434.6144501616674,506.3193735932162
2024-08-01 05:00:00,499.50560526556603,524.9375693304737,503.72222096780956,446.054314127211,509.22065371715297
2024-08-01 06:00:00,468.7380628009272,500.03358608335185,500.96880705762413,422.57557209222506,490.2752807430918
2024-08-01 07:00:00,380.22885725964295,432.83899885930185,481.7579085921166,363.89193864186785,433.84204634233566
2024-08-01 08:00:00,324.0889653076595,379.8149717175714,448.68563368843894,336.0684597987004,388.8405900874592
2024-08-01 09:00:00,293.82158167928327,343.3942706456696,429.3728457836535,305.9045489708825,360.37755560435136
2024-08-01 10:00:00,273.68361698079866,316.62757292026396,416.70936292410374,283.3196302080588,340.8951181111624
2024-08-01 11:00:00,257.6524206008667,307.70377253956065,410.8519336601839,274.16785193291224,331.21896723462714
2024-08-01 12:00:00,258.8765257658692,315.86027752701375,412.71386754434326,282.92808482243584,335.76684175923555
2024-08-01 13:00:00,267.9296462682755,334.90131690687616,417.91337781458094,303.4662773392681,348.3414077596652
2024-08-01 14:00:00,282.5527754929224,353.3169841534191,422.7992736222682,321.8012330108878,361.6636505018704
2024-08-01 15:00:00,309.1564682211187,397.74814292981097,437.59081539462835,364.9649244600386,390.63936395623085
2024-08-01 16:00:00,350.6430551124597,452.0726225394445,451.65355992708317,411.8775359398104,425.20518974981536
2024-08-01 17:00:00,412.99684378010517,526.1462882221218,468.9215315747687,472.9620940395934,471.4121384106658
2024-08-01 18:00:00,491.6675669855451,560.5933556449208,475.44268943837136,483.37275257034185,504.18111544734023
2024-08-01 19:00:00,512.5915652902618,557.199956403524,474.1498701470487,478.21002669021476,507.9485261507115
2024-08-01 20:00:00,516.3100453963987,573.1002445338613,477.90412123594007,490.9065164566007,515.373586891262
2024-08-01 21:00:00,514.4043504539553,563.3893470161604,471.8889248203194,480.51874538334795,509.71363487494267
2024-08-01 22:00:00,511.12924944233765,535.6148372881268,465.53625672714963,454.5232416813619,498.45287765038495
2024-08-01 23:00:00,506.64885798817437,557.8968542331929,465.07080722229443,473.27667299724123,505.42261807687794
2024-08-02 00:00:00,500.71325023323277,588.2863768660511,471.5559235506102,498.87884423350465,517.8646803810518
2024-08-02 01:00:00,497.4240507332632,588.6841165804927,491.81741017768627,495.2476473145839,525.3972311413705
2024-08-02 02:00:00,497.28257551297355,598.3802894063023,500.52685145127674,500.3196604207256,533.3989891706373
2024-08-02 03:00:00,501.03489057588405,601.7775344682309,499.0600267929828,502.17354805707106,536.1807588438201
2024-08-02 04:00:00,499.70168909862963,580.111348336637,498.0357156484419,487.9132303950948,528.1887721795989
2024-08-02 05:00:00,497.3576690800078,560.7269158840292,496.726140430823,474.7834065025168,520.3191881690428
2024-08-02 06:00:00,460.13553872224554,539.4040634477744,496.5066857416511,450.4767091080134,501.36182307211766
2024-08-02 07:00:00,394.82045154709374,473.21031455015606,485.68066972504596,393.57772551923307,454.717624282674
2024-08-02 08:00:00,336.5861840913322,410.45097312510546,452.9562402706387,347.58969394138006,404.19849084661246
2024-08-02 09:00:00,293.22610764441924,370.3166562792806,430.6543873329948,320.21942137509996,369.7856601553249
2024-08-02 10:00:00,277.53081311205847,345.45084599222474,420.1719414846928,296.9231857226322,352.5865273608168
2024-08-02 11:00:00,271.23268527604057,338.17965040753745,416.0764934355484,292.6358257500785,348.496114197159
2024-08-02 12:00:00,258.6543378636973,363.4573203071765,433.1267810123129,321.5668472375098,361.1311484887243
2024-08-02 13:00:00,258.310255929987,382.07485644683607,438.1008240805586,353.5141959233618,370.44445771825355
2024-08-02 14:00:00,276.36112197044787,398.77332549663794,438.4204419406146,370.3718226846245,380.0017150131669
2024-08-02 15:00:00,308.4204707336192,430.4636617584354,446.3181402759467,400.40475559888955,403.6178713259126
2024-08-02 16:00:00,363.76033251961064,481.14388304552114,458.5122323590232,401.6334872946139,437.9247141515638
2024-08-02 17:00:00,452.44165198600103,540.8002425569307,473.7150383054943,423.0494397074096,486.05848973906154
2024-08-02 18:00:00,512.5815113410099,572.3163941021751,482.23774193060416,456.0412964394137,514.8723901947824
2024-08-02 19:00:00,528.8280202532104,568.1885777234926,479.7113081997172,457.997774893842,517.3909175114105
2024-08-02 20:00:00,530.5659178584357,571.0685093390696,477.4905801029695,467.8212762508457,518.3179352610798
2024-08-02 21:00:00,527.4050132676648,586.095460360522,477.3172742507902,523.2870719908275,523.2578914750433
2024-08-02 22:00:00,525.6666003342567,607.92534729396,479.3508573577267,537.5211379876234,531.5949168905462
2024-08-02 23:00:00,529.514716414879,636.0229403158994,479.7782332061264,569.8134875649484,543.9721977888131
2024-08-03 00:00:00,526.4877812300243,639.4432485525049,489.7563399078901,535.2439761666496,548.8408230746786
2024-08-03 01:00:00,525.8738610197812,648.2344024921339,510.8257139158811,519.7634544842409,559.6735911683515
2024-08-03 02:00:00,526.6360005699137,668.8394201840987,518.0125964102696,530.1144886552127,572.5965274189216
2024-08-03 03:00:00,527.5737397212589,672.0902974266179,513.6800752138205,571.1266169063184,576.0968701965875
2024-08-03 04:00:00,519.4560674067636,669.4931423417612,508.5143796226926,546.0074201545387,571.3406483276773
2024-08-03 05:00:00,507.79815879841,655.99532346248,499.093782348437,509.37551421640546,559.1945093099824
2024-08-03 06:00:00,467.8225789220839,612.136386701552,504.2556929475836,473.03894718136183,533.6311231005335
2024-08-03 07:00:00,389.82245608894254,520.0545208559631,514.4614304728537,397.95890767989687,477.8155380857906
2024-08-03 08:00:00,330.6790084072216,438.5363596344108,507.24485440946296,331.38587657795716,424.5008776281464
2024-08-03 09:00:00,291.14812489030044,388.20552988014526,493.2692063383004,294.4410047201861,388.6783337578769
2024-08-03 10:00:00,272.1019163072947,361.5021354808265,480.22813190821455,277.77078726184106,369.2888854192461
2024-08-03 11:00:00,263.09161812553725,349.23515410311865,470.44221273779647,272.0641173686329,360.78697948023745
2024-08-03 12:00:00,262.0562031416603,355.6487856054629,469.5657891151561,276.97012746804603,364.22072117289923
2024-08-03 13:00:00,269.902085949468,371.815888661129,472.8645656731511,299.908254862225,375.3443156448645
2024-08-03 14:00:00,281.48146563077444,387.074306329446,480.8558399217428,352.16404599472133,389.9812326175546
2024-08-03 15:00:00,316.18560352774136,419.95832156368624,486.02885757781826,384.20122221563264,415.0343379542206
2024-08-03 16:00:00,371.20940196752133,471.1644123828503,498.7518449053246,431.7804315701396,453.3704022090131
2024-08-03 17:00:00,448.4782429686189,537.325627478439,521.1721531308457,478.3417575048517,505.805979346746
2024-08-03 18:00:00,509.76753557036716,565.3276535256175,535.2081967727844,455.89112078016404,535.9715398176293
2024-08-03 19:00:00,529.0101359710968,560.3258405685436,535.7017228326783,434.2463325301476,539.0734189348885
2024-08-03 20:00:00,529.7363883168491,567.5896091995472,533.5922874552452,441.68099935312574,541.1637745326085
2024-08-03 21:00:00,529.9359836884851,577.8600208172694,534.1045623692847,471.04431707254923,545.5688915610604
2024-08-03 22:00:00,530.4230223280283,592.6933990881131,531.4067521852174,489.7106010174278,549.902033550716
2024-08-03 23:00:00,531.0161259597714,592.7493577189027,523.4203212369417,484.1156222523741,546.9850328744467
2024-08-04 00:00:00,523.9210690336085,613.0887040838935,521.1330807994756,487.11933825901974,550.5663029847865
2024-08-04 01:00:00,513.3744906485764,653.4293838419273,517.5072434240573,503.7316294079179,559.5061967639122
2024-08-04 02:00:00,505.69258760980335,675.6659664549295,516.1290392849338,511.99179703515404,563.7334589132067
2024-08-04 03:00:00,501.0568595550928,672.6022559882173,510.40153316637037,507.1216552342196,561.1546173718431
2024-08-04 04:00:00,498.438612427351,667.0880082368245,505.51285060474515,502.7764821257167,557.3761804225094
2024-08-04 05:00:00,498.23238601361055,647.0959371518994,501.8868752949867,488.4276525013189,548.9930062429562
2024-08-04 06:00:00,462.9863846074806,606.8993368244904,499.85065188928434,444.5722827212829,523.2499492342694
2024-08-04 07:00:00,387.87655462485714,499.14167692706417,500.5511487233687,363.0776521674639,463.19620720129086
