南部,中部,北部,東部,離島
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.05166542071600631,0.0632740733970111,0.059404717796714836,0.05746974705650871,0.0034940600978336823
0.24664735443143115,0.2534603841993815,0.23644559713474128,0.2500538693154063,0.025157232704402517
0.42997341971924585,0.4250826439985985,0.42077312584907983,0.4275280318589222,0.10866526904262752
0.5676073594152339,0.5619060676690584,0.5230332221810546,0.5647567135421461,0.26048218029350106
0.6499553534346707,0.6789025486342793,0.6087439792515746,0.664428951034475,0.23148148148148148
0.708341639671069,0.7323934006672456,0.6243052982586144,0.7203675201691573,0.09556254367575123
0.7238381510092201,0.7416556220769922,0.6551809312090898,0.7327468865431062,0.0959119496855346
0.6918878229088795,0.7124004082689701,0.6338767444732618,0.7021441155889248,0.09241788958770092
0.6085274939779052,0.6457230778605487,0.575460046930962,0.6271252859192269,0.08211041229909154
0.4962330758368635,0.5125466538701765,0.4857354575768804,0.50438986485352,0.0649895178197065
0.3643035135808622,0.33945432110049817,0.3520439669013215,0.3518789173406802,0.03651292802236198
0.19936352687100253,0.14555093460079518,0.2232308262319378,0.17245723073589886,0.013801537386443047
0.032882714511172036,0.017782551071706048,0.13795232802272447,0.02533263279143904,0.0006988120195667365
9.136971509261567e-05,0.011821519430860869,0.10102507101395579,0.005956444572976742,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.06614025251266716,0.061886263577228345,0.05897245893540817,0.06401325804494776,0.0034940600978336823
0.21135061051582357,0.23874899075301254,0.2344078053600099,0.22504980063441804,0.02830188679245283
0.39204149015698975,0.4219871121063936,0.4200938619241694,0.4070143011316917,0.05590496156533892
0.5686352687100257,0.5709976692107308,0.5343954551068296,0.5698164689603782,0.07424877707896575
0.6710108813024337,0.6722011486373262,0.60584166975423,0.6716060149698799,0.08647798742138364
0.7266498463327519,0.7267720853708697,0.64610349512165,0.7267109658518107,0.09224318658280922
0.7295082648060469,0.7415520314428042,0.6531431394343584,0.7355301481244256,0.10062893081761007
0.7011878062962039,0.7169583961732401,0.637334815363715,0.709073101234722,0.0859538784067086
0.6217626048675139,0.6294578249013604,0.5812646659256514,0.6256102148844371,0.08193570929419987
0.5134573054240384,0.50634949651905,0.4813511176979128,0.5099034009715442,0.0660377358490566
0.3612530110474292,0.32461343936139414,0.35976287513894034,0.34293322520441166,0.04210342417889588
0.14692354016114292,0.13239797084228325,0.21223910090156844,0.13966075550171309,0.015548567435359888
0.030625467231497634,0.008014563624453484,0.12850438433987893,0.01932001542797556,0.0008735150244584206
6.22975330176925e-06,0.0,0.12004446091144869,3.114876650884625e-06,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
