,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024-08-01 00:00:00,0.49299796288103725,0.5258856540424266,0.47245304594899107,0.4263260080590599,0.4943633058663084
2024-08-01 01:00:00,0.49304479605311524,0.5305451420371406,0.4817121331079886,0.4270184563494061,0.5003079248202104
2024-08-01 02:00:00,0.4941881332623516,0.5134532587008165,0.4757386163066671,0.4145806267270988,0.4927180356365112
2024-08-01 03:00:00,0.49439031687011264,0.511298210027975,0.48054276708018867,0.4170485002518835,0.494034208365525
2024-08-01 04:00:00,0.49363413842565,0.5145386746116386,0.4948047013167176,0.42950591537808963,0.5003680065178503
2024-08-01 05:00:00,0.493634328423662,0.5187673606960526,0.49780138129009527,0.4408113131680215,0.5032351844841786
2024-08-01 06:00:00,0.4632284330707418,0.4941561032540059,0.495080331491031,0.4176085444016105,0.48451249876002617
2024-08-01 07:00:00,0.37575958031697815,0.42775133304213653,0.47609524130709885,0.35961468871336244,0.4287425905338076
2024-08-01 08:00:00,0.32027956654087225,0.37535055965340086,0.44341170374472394,0.33211825194011485,0.384270089320251
2024-08-01 09:00:00,0.29036795106917346,0.3393579539161433,0.424325921748823,0.3023088930323038,0.3561416143564274
2024-08-01 10:00:00,0.2704666915545491,0.3129058766699944,0.41181128769670317,0.27998944138233317,0.3368881768646907
2024-08-01 11:00:00,0.2546239286806262,0.3040869682101454,0.40602270768799126,0.27094523472051163,0.32732576116966566
2024-08-01 12:00:00,0.255833645497962,0.3121476002019133,0.40786275607352795,0.2796024982902128,0.3318201791763429
2024-08-01 13:00:00,0.2647803540280434,0.33096482785246684,0.413001150384474,0.2998992812758813,0.3442469415140187
2024-08-01 14:00:00,0.27923160041682976,0.34916403410345503,0.41782961651250455,0.31801872464990105,0.35741259226922373
2024-08-01 15:00:00,0.305522588656294,0.3930729412159626,0.4324472958984174,0.36067506246922065,0.3860477200856028
2024-08-01 16:00:00,0.3465215348997688,0.44675888132630526,0.4463447444555937,0.4070362548528884,0.42020725307624823
2024-08-01 17:00:00,0.4081424061557164,0.5199618720989302,0.4634097453241242,0.46740281430057073,0.4658710771262491
2024-08-01 18:00:00,0.48588841982781894,0.5540040426254819,0.46985425235001266,0.4776911041180133,0.4982548818367726
2024-08-01 19:00:00,0.5065664737719288,0.5506505299961975,0.4685766290843853,0.47258906182695554,0.5019780097313273
2024-08-01 20:00:00,0.5102412462074799,0.5663639233397234,0.47228675204495296,0.48513631481664116,0.5093157950002395
2024-08-01 21:00:00,0.5083579511390459,0.5567671694205993,0.46634225930738904,0.47487064343319313,0.5037223710563906
2024-08-01 22:00:00,0.5051213462408963,0.529319126169795,0.4600642615938976,0.4491806954585607,0.492593974754749
2024-08-01 23:00:00,0.500693618096228,0.5513392363635428,0.45960428306506523,0.46771369564000637,0.499481791624737
2024-08-02 00:00:00,0.49482777851993964,0.5813715551955386,0.4660131721950389,0.49301493444706457,0.5117776077376535
2024-08-02 01:00:00,0.49157724085029286,0.5817646198071741,0.486036501741064,0.48942641925617253,0.519221619569987
2024-08-02 02:00:00,0.491437428554518,0.5913468221102145,0.49464357070898946,0.4944388150271952,0.5271293235263366
2024-08-02 03:00:00,0.4951456382447882,0.5947041353551943,0.4931939873663216,0.49627091174151294,0.5298783957886346
2024-08-02 04:00:00,0.4938281074526788,0.5732926173896032,0.4921817161558516,0.4821782123638217,0.521980348342745
2024-08-02 05:00:00,0.4915116394585561,0.5541360329689652,0.49088753391647855,0.4692027187331172,0.5142032648084044
2024-08-02 06:00:00,0.454727024575088,0.5330638130955082,0.4906706587356222,0.44518172654019134,0.4954687279189233
2024-08-02 07:00:00,0.3901796624360126,0.46764811717972443,0.47997189361527487,0.38895154362463,0.44937279325543483
2024-08-02 08:00:00,0.3326298908144194,0.4056264601061311,0.4476321128657637,0.3435040634683796,0.399447470609974
2024-08-02 09:00:00,0.28977947634107737,0.36596388908839966,0.42559239983400543,0.31645550590569366,0.3654391343903015
2024-08-02 10:00:00,0.2742686670641624,0.34139035591427347,0.4152331664997558,0.2934330983095449,0.3484421632311641
2024-08-02 11:00:00,0.2680445685317871,0.33420462724347183,0.41118585706778243,0.2891961327215163,0.3443998295042614
2024-08-02 12:00:00,0.2556140692301841,0.35918517896065294,0.42803573256253535,0.3177870938883198,0.35688634937830693
2024-08-02 13:00:00,0.25527403169700047,0.3775838813026158,0.43295130985276586,0.3493589278123507,0.366090188331584
