,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024-07-12 00:00:00,0.45691121863182804,0.6461298830243505,0.47056268344574376,0.5559478461979592,0.5156929631744962
2024-07-12 01:00:00,0.45400564369079915,0.6815565607757403,0.48620299439615733,0.5816493389931021,0.5344192001446115
2024-07-12 02:00:00,0.4603311661435149,0.6776248101361474,0.49832729858904923,0.5804519274492541,0.5438037788655111
2024-07-12 03:00:00,0.45110627011258136,0.6822861831583708,0.49601748277438884,0.5793698852534391,0.5424612968039152
2024-07-12 04:00:00,0.4437330417055602,0.6785240701145817,0.49024518786221755,0.5740543872210481,0.5391199467204444
2024-07-12 05:00:00,0.44309182682352516,0.6640548198306188,0.4899784308550919,0.5650357662282058,0.5339590910311598
2024-07-12 06:00:00,0.4076086879529384,0.6232900992757833,0.5002279062527667,0.5304548398634891,0.5122782680191769
2024-07-12 07:00:00,0.3627621606620332,0.5431196056157448,0.4863322969377847,0.47043051666366953,0.4673228771021464
2024-07-12 08:00:00,0.3050786339130168,0.4603274779595565,0.4589290184326091,0.4107490311004238,0.4112776435444023
2024-07-12 09:00:00,0.26794468665273136,0.4271447153016839,0.43988339242008245,0.3882783081777759,0.38222724167190264
2024-07-12 10:00:00,0.24924491031769064,0.4023465367792404,0.43586641906907553,0.3652926631189704,0.3666233631344615
2024-07-12 11:00:00,0.24289187363351528,0.3826547087524514,0.4299963932664301,0.35147238205951875,0.35723338682050926
2024-07-12 12:00:00,0.2415471283375868,0.38491542497789333,0.4314211800325694,0.3527438647357394,0.358260071735496
2024-07-12 13:00:00,0.25988707224798124,0.3856435513364892,0.435438996229999,0.36053294270075165,0.36796278187392184
2024-07-12 14:00:00,0.2802190466007455,0.4142667217214047,0.4465343073147186,0.3878002741589717,0.3886218756081496
2024-07-12 15:00:00,0.2984129123208388,0.44148422978291724,0.4532105798559376,0.41116015124903943,0.40530349464190424
2024-07-12 16:00:00,0.34858451029177434,0.4633122300643498,0.4521671512266963,0.4143841443465629,0.4256101122516261
