,南部,北部,中部,東部,全台
2021-04-01 00:00:00,439.89555728688515,530.7842651595033,600.3416511895957,429.18840204363175,523.5284233714352
2021-04-01 01:00:00,443.4400968729796,520.190906487209,627.0759473443783,440.86991893006734,533.5268614028312
2021-04-01 02:00:00,443.80601671746643,500.86392075581165,647.8523541535701,449.88383664272703,540.384645560535
2021-04-01 03:00:00,445.77716830931394,494.83808231139443,631.812168309205,439.60825987205925,539.5758855996285
2021-04-01 04:00:00,446.1664460174136,486.7852831919134,644.8612603620193,447.75019453058417,545.7637700064248
2021-04-01 05:00:00,445.70837199487664,490.69310404020825,646.1677610119636,453.96270864235424,547.3443248066267
2021-04-01 06:00:00,445.95920353301,505.93059174466964,644.3435487612281,454.8013910496763,547.7176174866837
2021-04-01 07:00:00,446.2822391359741,517.611644700804,640.918038670224,453.89355551077614,545.1803279862136
2021-04-01 08:00:00,445.82558991543914,537.1269185632304,620.5367738323414,447.3597615123854,538.8592928510609
2021-04-01 09:00:00,446.06866114391846,546.0088846311862,608.0941584647297,450.43500688730376,537.563801729023
2021-04-01 10:00:00,445.55091378926596,543.3870427382327,615.3991958825807,504.3349086405113,540.5514897127117
2021-04-01 11:00:00,445.7856531661775,538.5638372217131,610.3452648054914,512.2785234150534,538.9779867949312
2021-04-01 12:00:00,445.98338651856426,544.6704855081571,631.8802976950647,529.9041544118318,554.1514917023143
2021-04-01 13:00:00,445.8175200813811,549.3662977445285,616.3224455096749,518.9094809726605,545.83866475627
2021-04-01 14:00:00,445.95739389672656,537.395364711028,628.6633691315784,509.0768069728519,545.0854612864746
2021-04-01 15:00:00,449.0993641623317,525.4521154322787,623.8077898918217,493.65599815208907,540.2129604412147
2021-04-01 16:00:00,448.7474489045034,515.3929260755718,603.7866026969501,454.1989836812591,528.1553763794196
2021-04-01 17:00:00,453.93656708168277,531.1065892478356,619.6685555714042,443.4082996087005,538.3630163375129
2021-04-01 18:00:00,458.14211432704326,533.4983926813784,613.7533222154062,441.3474520211024,536.5182689916511
2021-04-01 19:00:00,462.37885951668807,520.422564195899,611.7332450298336,441.6147896531823,533.9214347406571
2021-04-01 20:00:00,465.11174564501624,483.8098513980253,624.2554494043173,445.4829357800767,530.317486934155
2021-04-01 21:00:00,467.1920598803074,462.4898238658345,628.2777362838983,443.2611787441654,529.2683000046698
2021-04-01 22:00:00,467.7492375980668,433.17118174151005,638.165352351532,433.5224738853662,530.8230616576795
2021-04-01 23:00:00,470.7116103315171,446.5422979916846,646.2263010517335,431.9625550754564,535.1860433289783
2021-04-02 00:00:00,470.06084029560253,418.6118500069364,673.779517077004,483.4926339916341,541.2025535068482
2021-04-02 01:00:00,469.59956182694384,382.2561835333434,671.8637918204173,484.14935637746777,535.1379398783721
2021-04-02 02:00:00,469.70880615092346,360.69754197045563,668.2983436904115,478.3835591552501,534.7695508533328
2021-04-02 03:00:00,469.93319729573204,343.2434422536129,668.8715428880118,474.9210607307216,535.7965916665768
2021-04-02 04:00:00,470.1710721190954,340.01040651319056,660.1914334725321,469.7947936795542,531.3228475073375
2021-04-02 05:00:00,471.06469444737405,348.5140475517965,643.8399981630207,464.93393129453096,526.5430790916403
2021-04-02 06:00:00,470.6995181580933,361.83150675447985,634.891572246339,461.0688268760918,524.4730258672864
2021-04-02 07:00:00,470.15911844172615,375.1492081179047,631.562665836047,461.07795418308217,524.6601856011617
2021-04-02 08:00:00,472.3070573773957,382.06381734534915,619.7438532562439,461.782044578716,522.752064008014
2021-04-02 09:00:00,477.4507822426623,416.22991190219386,609.3303295055542,462.04932663703346,523.2976726380078
2021-04-02 10:00:00,481.59842186168214,433.8876526999123,591.911405181362,448.3666578092613,519.412443981695
2021-04-02 11:00:00,480.64461629303617,444.5351505986207,590.220946523893,440.08234569202904,517.6122454423654
2021-04-02 12:00:00,482.4544004826105,446.3911806429783,621.4597428105552,466.3530136740899,530.8955043938655
2021-04-02 13:00:00,482.2317432850752,447.5040341189397,616.3489293338818,467.9161262678482,528.3927963630153
2021-04-02 14:00:00,482.1556330071633,434.10333874220856,613.3960308769905,471.3474956804241,528.8461760925
2021-04-02 15:00:00,482.2902973730663,408.181359342245,596.0016730428887,459.04690395862553,520.2208920146389
2021-04-02 16:00:00,484.82291869205983,420.35969778113423,584.0990935657788,449.4521191115741,514.866161311817
2021-04-02 17:00:00,489.4149636923404,452.93099170534106,564.8787452760033,441.2496893149213,511.01999763666856
2021-04-02 18:00:00,491.0528086951891,471.5892080208055,536.4119441822705,403.18855011927394,502.5022324556824
2021-04-02 19:00:00,491.3049720368684,477.8957603218446,546.1601118700877,408.0833540802501,506.15366015790454
2021-04-02 20:00:00,491.5106563335064,465.59910273686353,556.8628215907883,414.54690456697875,508.97269239651155
2021-04-02 21:00:00,490.3067088163742,440.0902550317416,554.7173252657606,411.03397732317563,504.57205727562246
2021-04-02 22:00:00,490.30399136584987,438.79636374877686,566.4664056154099,415.77629695759765,509.04761793571777
2021-04-02 23:00:00,487.1514737673236,439.67448616000354,600.9468498456755,411.5005155688551,519.6492534499816
2021-04-03 00:00:00,485.8048755098641,409.3591177568606,652.8853967079688,414.9623383446187,534.7029546939634
2021-04-03 01:00:00,483.39259355537337,374.06199279851774,667.1999040119695,415.6895782271928,542.8169057671652
2021-04-03 02:00:00,480.02668605568283,338.3659052462918,660.7306304401193,409.60437835594354,542.440332074454
2021-04-03 03:00:00,479.70683545935253,313.7743920138996,654.3978977417687,406.6509313070984,539.645794300705
2021-04-03 04:00:00,483.2847477340587,304.63904382646183,650.4957571083737,388.49791249411163,537.966617130481
2021-04-03 05:00:00,482.9493679551871,308.1730174415281,645.2814420900266,383.8318880001855,535.4412590612292
2021-04-03 06:00:00,482.83055450673265,323.10278623258716,644.2111672541289,390.85178438080806,534.5167041840803
2021-04-03 07:00:00,482.8982628870769,346.39738105199655,638.0335751585083,393.003521278697,534.0741369859676
2021-04-03 08:00:00,482.6367491068617,373.38524069749775,658.5149516324996,398.29264670571104,539.0403767166799
2021-04-03 09:00:00,482.87276115715486,410.86019249578374,646.6957351727211,404.06682889120185,536.9176058858197
2021-04-03 10:00:00,482.6119084755169,416.7657057519703,640.3070524251582,404.9555183652567,534.0256344379538
2021-04-03 11:00:00,483.7265351040978,430.5587371370151,627.128827302218,402.490137002092,531.8896343366036
2021-04-03 12:00:00,483.8986808720097,438.50240371667394,598.871063641232,391.98792971327623,522.2568438003472
2021-04-03 13:00:00,483.4178681618138,450.23297378700016,588.0324109318922,388.3432186469654,516.9066193339854
2021-04-03 14:00:00,484.26110499527323,443.6481031653737,592.4191687160612,395.0298268859129,518.7748918867695
2021-04-03 15:00:00,484.4625869736694,454.28998413130256,587.6623556078112,397.48042474291594,517.4709084968933
2021-04-03 16:00:00,484.4516623527237,445.1909697648504,596.7617352031965,404.6988695990626,518.8018282770054
2021-04-03 17:00:00,483.5638267591577,444.91594507945103,602.356218961338,406.3335009356008,520.2494563210364
2021-04-03 18:00:00,482.5270642858481,449.7742320348614,583.052139393677,399.8541606828725,512.8580639575042
2021-04-03 19:00:00,482.5252341209118,450.42946878124457,559.7683941221753,379.69632434546077,504.91751795496873
2021-04-03 20:00:00,481.76934682610766,457.99102641534535,561.3675349835,383.44161223050213,506.63694586385293
2021-04-03 21:00:00,481.66183563661843,453.8187134722819,579.8691969828602,395.57927950276763,513.5975673881006
2021-04-03 22:00:00,482.9827124419826,447.5243462769899,622.1162035358823,417.06728131961063,528.8129391282955
2021-04-03 23:00:00,484.2728116428159,434.4898109979683,630.3535782778674,410.8024723339164,531.4273928975077
2021-04-04 00:00:00,485.43286952715454,434.6905212927743,636.5446824698133,420.47043250965396,535.2735642137833
2021-04-04 01:00:00,484.49902718378854,449.31075988916047,621.6825890938908,410.75034650869424,530.8267627958414
2021-04-04 02:00:00,484.4666732182264,404.5091114054258,654.5298710087924,428.0666576438848,537.017279236921
2021-04-04 03:00:00,484.9105321061205,371.09097926642835,663.1429458758914,433.5095726648902,542.3210625802274
2021-04-04 04:00:00,484.4101999935007,377.5671221412041,662.9016366498947,432.39090370419956,543.3295138718612
2021-04-04 05:00:00,484.506805108381,394.6495583253201,659.5191138020989,435.0435111239635,542.4178326896413
2021-04-04 06:00:00,484.46123053619266,446.37611305917653,658.5767653799488,434.62013332194977,546.6889533305905
2021-04-04 07:00:00,485.51260576284903,484.45292041372795,658.3494440492042,444.65253577846084,551.5373689799832
2021-04-04 08:00:00,485.9073457537383,502.39142563946126,652.5174078591303,447.55560771593684,551.8299453596827
2021-04-04 09:00:00,486.124721812421,513.8362537959374,629.0092263404155,431.0993549308589,540.050627933531
2021-04-04 10:00:00,486.68544165951886,517.2259102082261,640.9174936532149,421.2497322574611,542.9239704688985
2021-04-04 11:00:00,486.1422996977277,516.7554076954501,649.7635097313511,435.5409125022708,544.8773914637572
2021-04-04 12:00:00,487.38162845399324,524.5455416823393,643.7883535513067,471.3102235970138,545.9070459335259
2021-04-04 13:00:00,487.0505142632725,509.41965795340644,658.3223672151308,480.4636157088741,546.3202794104067
2021-04-04 14:00:00,487.1385348873828,519.7289588388785,620.9272262420103,455.12181874025543,535.7177834631325
2021-04-04 15:00:00,486.853723146799,522.3364942217357,579.9896991517383,431.5738008268124,524.4609259823014
2021-04-04 16:00:00,487.0238703518965,513.0160899743819,613.5163226961292,443.449679605016,535.7164630740025
2021-04-04 17:00:00,486.71610445302025,507.34729581217385,635.4773140778125,421.87361485295844,541.6696264447557
2021-04-04 18:00:00,489.47854627247597,513.2536530871195,587.6434115522509,379.70111419475296,526.2710218736227
2021-04-04 19:00:00,490.8507232930184,514.1029796414398,604.8194155108108,354.1835708552669,529.9463430550685
2021-04-04 20:00:00,490.3915782412975,514.0508007477109,601.1176681232092,349.1320532275043,527.9514069523905
2021-04-04 21:00:00,489.128490729984,514.6171289770072,604.5027576918245,347.6774688795375,528.8003033317694
2021-04-04 22:00:00,484.6608864841972,516.00619707051,625.3291081456435,389.1047375130031,535.7442208756779
2021-04-04 23:00:00,483.8640034033894,519.8596772516839,638.9374389279037,384.1638067250443,541.6188680928421
2021-04-05 00:00:00,483.7136245201527,515.9882106822909,648.7765347941496,397.77551225016964,546.4660065921624
2021-04-05 01:00:00,483.88727494711145,487.83081550416017,686.1595870121763,428.04728590564196,559.833274831596
2021-04-05 02:00:00,483.58498266547304,468.895185071387,723.2323765646711,439.4625580668372,570.3188834426555
2021-04-05 03:00:00,483.6572676792412,477.7884539088832,705.7162352326227,430.1151042003537,563.5674378348745
2021-04-05 04:00:00,483.9737233707076,474.57862200963024,705.4309812479665,430.21252712621384,563.1517046523386
2021-04-05 05:00:00,483.9632742023344,474.9199593272139,704.365627137075,434.42388053271463,562.7134970433285
2021-04-05 06:00:00,484.54448672973433,487.6905200016089,693.9155830635625,433.2949430484358,559.2367719067719
2021-04-05 07:00:00,484.68757636362784,499.5410133379313,655.2329022980573,422.0276002228919,544.9980303653214
2021-04-05 08:00:00,485.1351994173113,502.3339977920713,665.1093235816832,448.64826396270956,549.2627853789234
2021-04-05 09:00:00,485.18028314462356,503.51904422403305,670.2336439428725,484.3921279664185,551.9807033640825
2021-04-05 10:00:00,483.9421651694207,519.6114541418443,659.9077500275225,479.803256137046,549.5140838744023
2021-04-05 11:00:00,486.69725490653923,532.6592411968563,642.3640970903831,473.24005779074923,546.5536860396353
2021-04-05 12:00:00,495.25064637548456,534.0080649341555,630.1467462893281,468.16272557119385,548.971478456758
2021-04-05 13:00:00,491.3512906765103,517.6340325880301,643.8577075398013,471.43576726208966,548.4974300121963
