,南部 (kgCO2e/kWh),北部 (kgCO2e/kWh),中部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2021-04-01 05:00:00,0.4457083719948766,0.49069310404020827,0.6461677610119636,0.4539627086423542,0.5473443248066266
2021-04-01 06:00:00,0.44595920353301,0.5059305917446696,0.6443435487612281,0.45480139104967626,0.5477176174866837
2021-04-01 07:00:00,0.44628223913597415,0.517611644700804,0.6409180386702239,0.45389355551077615,0.5451803279862135
2021-04-01 08:00:00,0.44582558991543914,0.5371269185632305,0.6205367738323414,0.4473597615123854,0.5388592928510609
2021-04-01 09:00:00,0.44606866114391847,0.5460088846311862,0.6080941584647297,0.45043500688730376,0.537563801729023
2021-04-01 10:00:00,0.445550913789266,0.5433870427382327,0.6153991958825806,0.5043349086405113,0.5405514897127117
2021-04-01 11:00:00,0.4457856531661775,0.5385638372217131,0.6103452648054914,0.5122785234150534,0.5389779867949313
2021-04-01 12:00:00,0.4459833865185643,0.5446704855081571,0.6318802976950647,0.5299041544118318,0.5541514917023143
2021-04-01 13:00:00,0.4458175200813811,0.5493662977445285,0.616322445509675,0.5189094809726605,0.54583866475627
2021-04-01 14:00:00,0.44595739389672656,0.537395364711028,0.6286633691315784,0.5090768069728518,0.5450854612864746
2021-04-01 15:00:00,0.4490993641623317,0.5254521154322787,0.6238077898918217,0.49365599815208905,0.5402129604412147
2021-04-01 16:00:00,0.4487474489045034,0.5153929260755719,0.6037866026969502,0.4541989836812591,0.5281553763794197
2021-04-01 17:00:00,0.4539365670816828,0.5311065892478356,0.6196685555714042,0.4434082996087005,0.5383630163375129
2021-04-01 18:00:00,0.45814211432704327,0.5334983926813784,0.6137533222154062,0.4413474520211024,0.5365182689916511
2021-04-01 19:00:00,0.46237885951668806,0.5204225641958989,0.6117332450298336,0.4416147896531823,0.5339214347406571
2021-04-01 20:00:00,0.46511174564501623,0.4838098513980253,0.6242554494043173,0.4454829357800767,0.530317486934155
2021-04-01 21:00:00,0.4671920598803074,0.46248982386583454,0.6282777362838983,0.44326117874416543,0.5292683000046697
2021-04-01 22:00:00,0.4677492375980668,0.43317118174151004,0.6381653523515319,0.4335224738853662,0.5308230616576796
2021-04-01 23:00:00,0.4707116103315171,0.4465422979916846,0.6462263010517335,0.4319625550754564,0.5351860433289782
2021-04-02 00:00:00,0.4700608402956025,0.4186118500069364,0.673779517077004,0.48349263399163406,0.5412025535068482
2021-04-02 01:00:00,0.46959956182694385,0.3822561835333434,0.6718637918204173,0.48414935637746775,0.5351379398783721
2021-04-02 02:00:00,0.4697088061509235,0.3606975419704556,0.6682983436904114,0.4783835591552501,0.5347695508533328
2021-04-02 03:00:00,0.469933197295732,0.3432434422536129,0.6688715428880119,0.4749210607307216,0.5357965916665768
2021-04-02 04:00:00,0.4701710721190954,0.34001040651319053,0.6601914334725322,0.4697947936795542,0.5313228475073375
2021-04-02 05:00:00,0.47106469444737403,0.34851404755179655,0.6438399981630207,0.464933931294531,0.5265430790916402
2021-04-02 06:00:00,0.4706995181580933,0.36183150675447984,0.6348915722463391,0.4610688268760918,0.5244730258672864
2021-04-02 07:00:00,0.47015911844172614,0.3751492081179047,0.631562665836047,0.4610779541830822,0.5246601856011618
2021-04-02 08:00:00,0.4723070573773957,0.38206381734534917,0.6197438532562439,0.461782044578716,0.522752064008014
2021-04-02 09:00:00,0.4774507822426623,0.4162299119021939,0.6093303295055542,0.46204932663703346,0.5232976726380079
2021-04-02 10:00:00,0.4815984218616821,0.4338876526999123,0.5919114051813621,0.4483666578092613,0.519412443981695
2021-04-02 11:00:00,0.4806446162930362,0.4445351505986207,0.590220946523893,0.44008234569202903,0.5176122454423654
2021-04-02 12:00:00,0.48245440048261046,0.44639118064297834,0.6214597428105552,0.4663530136740899,0.5308955043938655
2021-04-02 13:00:00,0.4822317432850752,0.44750403411893974,0.6163489293338817,0.4679161262678482,0.5283927963630154
2021-04-02 14:00:00,0.4821556330071633,0.4341033387422086,0.6133960308769905,0.4713474956804241,0.5288461760925
2021-04-02 15:00:00,0.48229029737306633,0.408181359342245,0.5960016730428886,0.4590469039586255,0.520220892014639
2021-04-02 16:00:00,0.48482291869205985,0.42035969778113424,0.5840990935657788,0.4494521191115741,0.514866161311817
2021-04-02 17:00:00,0.4894149636923404,0.45293099170534107,0.5648787452760033,0.44124968931492126,0.5110199976366686
2021-04-02 18:00:00,0.49105280869518914,0.47158920802080545,0.5364119441822706,0.40318855011927396,0.5025022324556824
2021-04-02 19:00:00,0.4913049720368684,0.4778957603218446,0.5461601118700877,0.4080833540802501,0.5061536601579045
2021-04-02 20:00:00,0.4915106563335064,0.4655991027368635,0.5568628215907883,0.41454690456697874,0.5089726923965116
2021-04-02 21:00:00,0.4903067088163742,0.4400902550317416,0.5547173252657606,0.41103397732317565,0.5045720572756225
2021-04-02 22:00:00,0.49030399136584984,0.43879636374877684,0.56646640561541,0.41577629695759766,0.5090476179357177
2021-04-02 23:00:00,0.4871514737673236,0.43967448616000354,0.6009468498456755,0.41150051556885514,0.5196492534499817
2021-04-03 00:00:00,0.48580487550986406,0.4093591177568606,0.6528853967079687,0.41496233834461865,0.5347029546939635
2021-04-03 01:00:00,0.48339259355537334,0.37406199279851776,0.6671999040119695,0.41568957822719277,0.5428169057671651
2021-04-03 02:00:00,0.4800266860556828,0.3383659052462918,0.6607306304401193,0.40960437835594354,0.542440332074454
2021-04-03 03:00:00,0.47970683545935255,0.3137743920138996,0.6543978977417687,0.4066509313070984,0.539645794300705
2021-04-03 04:00:00,0.4832847477340587,0.30463904382646184,0.6504957571083737,0.38849791249411164,0.537966617130481
2021-04-03 05:00:00,0.48294936795518706,0.3081730174415281,0.6452814420900267,0.3838318880001855,0.5354412590612292
2021-04-03 06:00:00,0.4828305545067327,0.32310278623258715,0.6442111672541289,0.39085178438080803,0.5345167041840803
2021-04-03 07:00:00,0.4828982628870769,0.3463973810519965,0.6380335751585082,0.39300352127869703,0.5340741369859676
2021-04-03 08:00:00,0.4826367491068617,0.37338524069749773,0.6585149516324995,0.398292646705711,0.5390403767166799
2021-04-03 09:00:00,0.48287276115715483,0.41086019249578376,0.6466957351727212,0.4040668288912018,0.5369176058858197
2021-04-03 10:00:00,0.4826119084755169,0.4167657057519703,0.6403070524251582,0.4049555183652567,0.5340256344379538
2021-04-03 11:00:00,0.4837265351040978,0.4305587371370151,0.6271288273022181,0.402490137002092,0.5318896343366036
2021-04-03 12:00:00,0.4838986808720097,0.4385024037166739,0.598871063641232,0.39198792971327623,0.5222568438003472
2021-04-03 13:00:00,0.48341786816181376,0.45023297378700017,0.5880324109318922,0.3883432186469654,0.5169066193339854
2021-04-03 14:00:00,0.48426110499527325,0.4436481031653737,0.5924191687160613,0.39502982688591287,0.5187748918867695
2021-04-03 15:00:00,0.4844625869736694,0.45428998413130256,0.5876623556078111,0.39748042474291595,0.5174709084968934
2021-04-03 16:00:00,0.4844516623527237,0.4451909697648504,0.5967617352031965,0.4046988695990626,0.5188018282770054
2021-04-03 17:00:00,0.48356382675915766,0.44491594507945104,0.602356218961338,0.4063335009356008,0.5202494563210364
2021-04-03 18:00:00,0.4825270642858481,0.44977423203486144,0.583052139393677,0.3998541606828725,0.5128580639575042
2021-04-03 19:00:00,0.4825252341209118,0.45042946878124457,0.5597683941221753,0.37969632434546075,0.5049175179549688
2021-04-03 20:00:00,0.48176934682610767,0.45799102641534534,0.5613675349835,0.3834416122305021,0.5066369458638529
2021-04-03 21:00:00,0.4816618356366184,0.4538187134722819,0.5798691969828602,0.3955792795027676,0.5135975673881006
2021-04-03 22:00:00,0.4829827124419826,0.4475243462769899,0.6221162035358823,0.4170672813196106,0.5288129391282955
2021-04-03 23:00:00,0.4842728116428159,0.4344898109979683,0.6303535782778674,0.4108024723339164,0.5314273928975077
