,南部,北部,中部,東部,全台
0,0.11172379455975626,0.12345937732258135,0.1843024489532461,0.12714984928964876,0.14468295577841708
1,0.11233242003259344,0.11882711590213987,0.19420489974696908,0.13162085236304064,0.14790307633594962
2,0.11228126527301267,0.10911853180116213,0.20204344862138846,0.13499909555810935,0.15039102747799032
3,0.11420047868700528,0.10267102009929811,0.1969799948424868,0.13188186211007966,0.15120048057384794
4,0.11431672278780981,0.0996795268358677,0.20171819234575336,0.13483687492419186,0.15352261161417474
5,0.11417504740321423,0.10306371215418185,0.20214989124185787,0.13678372429254082,0.15424878753806037
6,0.11426026152378795,0.11349258408456121,0.20097905563879556,0.13678921534824162,0.15433174153897028
7,0.11439159490417511,0.12166241551504366,0.1991148945203312,0.13624746422723963,0.1532057286990718
8,0.1145706063928876,0.13321174960549653,0.19250618270468922,0.13450865273271406,0.151577401932694
9,0.11435428826032332,0.14082181592193194,0.1876093906033222,0.13558545186653975,0.15144317372755428
10,0.11418789950727884,0.1409827027168833,0.1904681700397448,0.1515944024970079,0.15265023574154904
11,0.11425321994494697,0.14087328615760633,0.18805621801590633,0.15359023608213215,0.15203644678997968
12,0.11398092243814495,0.1417940299494129,0.1942755954343025,0.15854410408772707,0.15694922886517915
13,0.11423273823970512,0.14485247183107536,0.19063246595596126,0.15602205682812315,0.15497442917764184
14,0.11426195083614786,0.14081899541453152,0.19451570402883217,0.15285601349955838,0.15438073900338461
15,0.11433498988616957,0.13819548395895861,0.19291121628165264,0.14824317613746754,0.1528357832715636
16,0.11473341316673984,0.14200268953079245,0.18771865271578997,0.13681229520221913,0.15155494391577437
17,0.11471892675063,0.16491377043380315,0.19258683714167174,0.1332672428620402,0.15902512819626327
18,0.11554025427074037,0.16835440392556406,0.1911289481468202,0.13289293123610002,0.15926536708488284
19,0.11556149385202405,0.16580057060647627,0.19016295404599068,0.13268117507348856,0.15823333156379163
20,0.11603238864143083,0.14367143830009932,0.19354022219635572,0.1334339209785138,0.15352315526063595
21,0.11622977897222374,0.1268241269817922,0.19559506040764493,0.13288116542500072,0.15069477916082166
22,0.11702800797824613,0.10375752069722172,0.20102046133849086,0.1304721103590576,0.1497194254057567
23,0.11717729032028003,0.1104715681321355,0.20277929481999757,0.12930065108996472,0.15055474467186447
24,0.11698038098357312,0.09783691231960227,0.21193650838105507,0.14480896693909323,0.1516189139711309
25,0.11685708891825354,0.0822387215060692,0.21270840644941355,0.1454960937254096,0.14960864108368577
26,0.11684832447610316,0.0726782983773191,0.211148005347074,0.1433394126601279,0.1494892416861631
27,0.11716143471244934,0.06468229514293503,0.21116120752108344,0.14200439975923387,0.14993425778955718
28,0.11702253760332913,0.06407921500673337,0.20658062948368316,0.1391911381259029,0.14764338809622535
29,0.11702917686089657,0.06788542122276826,0.19930249709148898,0.1364360059254922,0.14538532094044118
30,0.11699300907012032,0.0733366037449098,0.19625727077514632,0.13510589868059902,0.14489042893221055
31,0.11697009027134522,0.07896942064606115,0.19644587938433042,0.1360701290046324,0.1458161977367217
32,0.11712203586745087,0.08171086525675948,0.19274876142335998,0.13630654434869796,0.1454069544177451
33,0.11799646433220795,0.09580683552061245,0.18849898312734323,0.13609052175054553,0.14508482762723593
34,0.12212282986675967,0.10494383714067047,0.18243413573252792,0.13251791799731946,0.14529537674366758
35,0.12261093228558989,0.11001413900537249,0.18179295645968688,0.13038388473255352,0.14485613591574664
36,0.12388073491418176,0.11153876832831121,0.19076436989112747,0.1385188051848179,0.14895767369199175
37,0.12375387244796826,0.11168106873888964,0.18871702653334096,0.13870831005921186,0.14784507669749844
38,0.12257590007106439,0.10585614669515907,0.18692029596677492,0.13943014030682413,0.14758606281431413
39,0.12261425309208422,0.0923612461095355,0.1829173200174337,0.13614896472399138,0.14512539436703717
40,0.12567747786030445,0.10392173851188868,0.18106918197181476,0.13460153003792266,0.14575309260488326
41,0.1259375367410151,0.13842987792678738,0.17569978444882692,0.13241980313953522,0.14833902131253204
42,0.12572697439517375,0.16507117009014607,0.16724236500751907,0.12083519183408924,0.1498626971339846
43,0.12570556189451973,0.16700723490110217,0.17030765104518594,0.12250972082552898,0.15136388469326212
44,0.12580793141636246,0.14932953173491134,0.17354717068357756,0.12433141694898951,0.14908617683946035
45,0.12559092142701753,0.11828157320797013,0.17305289472492708,0.12319809050998479,0.14323275757745002
46,0.12391023850120675,0.10935042143011217,0.17581174042334402,0.12380010783797285,0.14228591164980106
47,0.11874983518382382,0.10736512766584828,0.1863782829701776,0.1218701376770466,0.1431004627538416
48,0.1174478044780926,0.0955109033367453,0.20442280053043227,0.12308565833171006,0.14748427593842336
49,0.11783216066703973,0.08199740531909946,0.2083020344429111,0.12308145388600404,0.15073997826816116
50,0.1180660361036836,0.06218157499359767,0.20528338680948752,0.12090174862896384,0.15077031368092933
51,0.1181819886335725,0.050761406588010746,0.20297364737570123,0.11972016687816912,0.14980181592632816
52,0.11841617061884777,0.04636352289983434,0.201996751362512,0.11431999908135297,0.1488591409007101
53,0.11837418927672336,0.04747550684079396,0.20032926775184562,0.1129213129186207,0.14805955929963788
54,0.1182457631176724,0.05345240216197576,0.20009607933116402,0.11507566358291944,0.14761803510437752
55,0.11827783658192718,0.06379823177538137,0.1974398182945735,0.11560103610858122,0.14758210549752493
56,0.11838356004613508,0.0817189909599547,0.20469875624205483,0.11785533568410171,0.149719218769938
57,0.11837021976909988,0.10118884266161886,0.19890629796770387,0.11884783087910618,0.1493422646118168
58,0.11847452596169071,0.10101954732239468,0.19646152287070895,0.11919084094821528,0.1479938389967807
