南部,北部,中部,東部,離島
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.018724455850204352,0.008089415833024577,0.03499230687201986,0.026858381361112106,0.002620545073375262
0.038130089028292624,0.021798196863035694,0.15397681397864205,0.09605345150346734,0.0031446540880503146
0.09837467921300257,0.042484870939854265,0.30343372484499487,0.20090420202899872,0.14902166317260657
0.14748281215347084,0.0983697665802149,0.5708849382264674,0.3591838751899691,0.18134171907756813
0.17409625194056333,0.07916512288501915,0.6551589659217281,0.4146276089311457,0.33787561146051714
0.29395177898171915,0.07243423490181548,0.7240345505232851,0.5089931647525021,0.27358490566037735
0.345388587903558,0.06150426083734717,0.5981247048428622,0.4717566463732101,0.2837176799440951
0.2974210309539651,0.07793009756700012,0.6492497295979769,0.473335380275971,0.2655485674353599
0.1912840984697272,0.0570581696924787,0.479828770775254,0.3355564346224906,0.30258560447239696
0.1372176282355923,0.037236013338273435,0.42890635711347747,0.2830619926745349,0.3630328441649196
0.13200582961062005,0.013832283561813015,0.24394680316256112,0.18797631638659057,0.26222921034241786
0.06743655546050754,0.004569593676670372,0.041192511006504874,0.05431453323350621,0.06464011180992314
0.0022494693153375786,0.0,0.00015995612631963804,0.0012047127208286083,0.0005241090146750524
9.5047999239616e-05,0.0,4.1131575339335496e-05,6.808978728947575e-05,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.011754269239299179,0.0014202791157218724,0.022716816720747074,0.017235542980023125,0.0
0.02026106517124481,0.009694948746449302,0.0362689090992185,0.028264987135231658,0.0
0.030874758419668604,0.024453501296776585,0.08558871471444023,0.05823173656705442,0.04647099930118798
0.10681810981212181,0.030999135482277382,0.04034398184117119,0.0735810458266465,0.16876310272536688
0.07139688876215822,0.03680375447696677,0.046897612845238634,0.059147250803698426,0.10761705101327744
0.07809777270855114,0.042855378535259975,0.05584601556906296,0.06697189413880705,0.10394828791055205
0.08894908595507398,0.04267012473755712,0.0824962296055939,0.08572265778033394,0.1792452830188679
0.1276653043120109,0.02957885636655552,0.09055954176378288,0.1091124230378969,0.14046121593291405
0.0895985806165447,0.0353834753612449,0.05393415901162348,0.07176636981408409,0.10062893081761007
0.04880714760954282,0.027911572187229835,0.07145621010618039,0.06013167885786161,0.0980083857442348
0.031524253081139306,0.014820303816228233,0.04928019743156164,0.04040222525635047,0.037910552061495455
0.022668947818648418,0.003890329751759911,0.0045793153877793525,0.013624131603213886,0.014500349406009784
0.0031999493077337388,0.0007410151908114116,0.00015995612631963804,0.0016799527170266884,0.00034940600978336826
9.5047999239616e-05,0.0007410151908114116,8.226315067867099e-05,8.86555749591435e-05,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
