南部,北部,中部,東部
422.0467300226816,193.23856682136307,146.82766644910512,168.47912562111415
433.03295993846575,187.98465125489773,146.30087520117192,171.4347909063631
415.68372096279217,191.49354823451003,148.8474762667848,171.22081334379848
424.9118843175814,193.25597978741104,158.16612712334836,180.41857417359404
420.0111129469688,194.5079063341393,160.14426735468112,180.03732187892547
418.06863256639326,197.3697926938011,165.16433670549537,185.08339434427822
391.87481334999757,192.26944185220748,169.84591449892966,182.46750805918208
369.43708815510786,194.09783072956466,152.54652001788475,164.9605949058123
313.75862815952286,196.0349497505347,145.7018078151873,147.71082718084241
280.7826707982834,189.20109558605728,121.53774609703898,128.00466520136675
263.98046782234456,188.02320470565883,121.69583407918239,141.51910057254798
212.71632911141154,188.07674521458117,120.76441540705001,131.41064516327842
194.33927127350603,183.60352657889632,135.34077214692908,137.91910938064098
211.14397947918042,187.84314258908907,129.0885196760416,137.57650697961603
254.31606385188434,179.7829481119653,140.79297677708297,150.87644719632416
291.60848591600814,186.07286630325257,143.93509952313585,156.28910657635504
294.56731566920735,192.3339994651641,155.87768914151664,154.0417338512194
349.7447118635466,203.88716140953747,175.59938759335333,168.77740597150841
426.2181565155605,214.4678849546699,180.8756543260605,185.7252452484994
433.644792599323,201.03126563904158,180.85694987830254,187.05257524890138
436.3587529846368,172.7491594992226,184.90687480209422,190.13720130407836
438.49768362716156,159.68117790485033,187.08283445382781,189.3446745060478
439.0161947174582,146.53557886583994,184.42496374397425,184.63468683085142
442.2871935323754,147.56576563282343,182.00022718688683,184.56688667323746
441.11162868620113,154.12866462950262,172.33244972766562,197.26856870719584
441.9492550192204,158.46673489210283,165.30528336026268,195.75191174850107
442.1590951763537,166.51501068484293,164.24021239957966,196.9740117398641
442.92601187216934,159.24163338887348,165.15278892662025,199.54032687519137
441.3526317386003,160.01349021210908,161.92656861004443,199.6195100502349
441.9092138304187,160.67040474168385,155.95948056882386,198.57079888264806
425.60232372374753,164.10446668746985,154.0269263959612,194.74178401704066
415.05660044306995,166.4120303142272,157.4910882365478,194.01251627093677
406.61813682155895,160.57993493793705,153.8859175902472,192.43759674702824
338.12108351253045,152.8964235218259,150.99761573933282,172.16361180781718
375.1204414075732,149.9692390086695,152.20276021848676,181.16820694046703
371.7134998702998,150.86070289413533,152.45010650415682,176.4102281551189
365.08429836453075,149.64026397466074,152.63007569696322,177.79501494558585
333.5071297656385,149.16631629598106,154.57180617879254,171.6481995239753
358.5626509992348,146.92874791113584,156.3779999959692,178.761356091514
402.98597590564725,156.6998711959012,152.6001292380957,185.30657345787444
430.7150092448671,149.1852055744192,140.24201040695036,178.8771614433003
439.5200343486513,158.83200724585464,142.6544603000791,177.82189387709207
465.1584956294987,167.26715250877612,140.3049142229269,172.33806540268478
463.8166760136523,180.0085064824143,142.062915393036,171.98600510408272
466.222760096444,198.16074369637994,144.7277008676801,175.23483754992435
462.9276731032352,191.02827570526145,144.79699429408714,172.38420213185847
