南部,北部,中部,東部,離島
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.00332667997338656,0.0,0.00010816080922566001,0.00171742039130611,0.03668763102725367
0.06857713145138294,0.0190193898974929,0.03049677802659842,0.04953695473899068,0.05712788259958071
0.22398061020815513,0.046622205755217985,0.09942720472860778,0.16170390746838145,0.09835779175401818
0.4173240819947407,0.07990613807583055,0.15965601815882882,0.28849005007678474,0.20632424877707897
0.4968792573582993,0.1559219463999012,0.5117956217723139,0.5043374395653066,0.26275331935709295
0.5520387795836896,0.10547116215882427,0.3609798455280837,0.45650931255588667,0.3663522012578616
0.5328390837372873,0.3042484870939854,0.40803284432460424,0.4704359640309458,0.41823899371069184
0.5468111396255109,0.29084846239347906,0.38412930548573343,0.46547022255562215,0.3969252271139064
0.4585590723315273,0.26281338767444734,0.3785354112395838,0.4185472417855556,0.3338574423480084
0.2992427842727244,0.12387303939730764,0.2720046311107049,0.28562370769171463,0.2508735150244584
0.12437030700503753,0.0482277386686427,0.13208872233139865,0.12822951466821808,0.09346610761705101
0.014748281215347082,0.0027788069655427933,0.0039212101823499846,0.009334745698848533,0.02690426275331936
0.0,0.0,0.002687262922169919,0.0013436314610849596,0.023060796645702306
0.0,0.0,0.0017915086147799462,0.0008957543073899731,0.015373864430468204
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0031999493077337388,6.175126590095097e-05,0.0022393857684749325,0.0027196675381043357,0.019217330538085255
0.07133352342933182,0.01710510065456342,0.07111497037003184,0.07122424689968182,0.04280223619846261
0.24313278205493774,0.06922316907496603,0.2678472952180735,0.2554900386365056,0.10656883298392732
0.44365237778411426,0.12418179572681239,0.4370458388556281,0.4403491083198712,0.23165618448637318
0.4937109907169787,0.4409040385327899,0.5481071858385509,0.5209090882777648,0.34730957372466803
0.5391914583531351,0.5150055576139312,0.6124506801943849,0.57582106927376,0.41509433962264153
0.5420745809967367,0.3358033839693713,0.6241396645491523,0.5831071227729445,0.41561844863731656
0.5025979786458827,0.4615289613437076,0.5788172387002423,0.5407076086730624,0.39028651292802236
0.4465038177613028,0.3482153884154625,0.4736087625489389,0.46005629015512084,0.3389238294898672
0.29086271900643157,0.2349635667531184,0.31309202809134257,0.3019773735488871,0.23410202655485676
0.11944365237778412,0.0737927627516364,0.12408025227366208,0.1217619523257231,0.09189378057302586
0.019152171846782626,0.004013832283561813,0.004009566899745594,0.01158086937326411,0.02707896575821104
0.0,0.0007410151908114116,0.002687262922169919,0.0013436314610849596,0.023060796645702306
0.0,0.0007410151908114116,0.0017915086147799462,0.0008957543073899731,0.015373864430468204
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
